Gene stable ID	Mouse gene stable ID	Mouse gene name
ENSG00000108576	ENSMUSG00000020838	Slc6a4
ENSG00000108578	ENSMUSG00000020840	Blmh
ENSG00000108582	ENSMUSG00000020841	Cpd
ENSG00000108587	ENSMUSG00000010392	Gosr1
ENSG00000108588	ENSMUSG00000078622	Ccdc47
ENSG00000108590	ENSMUSG00000020801	Med31
ENSG00000108591	ENSMUSG00000020537	Drg2
ENSG00000108592	ENSMUSG00000020706	Ftsj3
ENSG00000108599	ENSMUSG00000047804	Akap10
ENSG00000108602	ENSMUSG00000019102	Aldh3a1
ENSG00000108604	ENSMUSG00000078619	Smarcd2
ENSG00000108622	ENSMUSG00000001029	Icam2
ENSG00000108639	ENSMUSG00000048277	Syngr2
ENSG00000108641	ENSMUSG00000001039	B9d1
ENSG00000108651	ENSMUSG00000035575	Utp6
ENSG00000108654	ENSMUSG00000020719	Ddx5
ENSG00000108666	ENSMUSG00000057181	5730455P16Rik
ENSG00000108669	ENSMUSG00000017132	Cyth1
ENSG00000108671	ENSMUSG00000017428	Psmd11
ENSG00000108679	ENSMUSG00000033880	Lgals3bp
ENSG00000108684	ENSMUSG00000020704	Asic2
ENSG00000108688	ENSMUSG00000035373	Ccl7
ENSG00000108691	ENSMUSG00000035385	Ccl2
ENSG00000108700	ENSMUSG00000009185	Ccl8
ENSG00000108700	ENSMUSG00000035352	Ccl12
ENSG00000108733	ENSMUSG00000018733	Pex12
ENSG00000108759	ENSMUSG00000046095	Krt32
ENSG00000108771	ENSMUSG00000017830	Dhx58
ENSG00000108773	ENSMUSG00000020918	Kat2a
ENSG00000108774	ENSMUSG00000019173	Rab5c
ENSG00000108784	ENSMUSG00000001751	Naglu
ENSG00000108786	ENSMUSG00000019301	Hsd17b1
ENSG00000108788	ENSMUSG00000017801	Mlx
ENSG00000108797	ENSMUSG00000017167	Cntnap1
ENSG00000108798	ENSMUSG00000018381	Abi3
ENSG00000108799	ENSMUSG00000006920	Ezh1
ENSG00000108813	ENSMUSG00000020871	Dlx4
ENSG00000108819	ENSMUSG00000038976	Ppp1r9b
ENSG00000108821	ENSMUSG00000001506	Col1a1
ENSG00000108823	ENSMUSG00000001508	Sgca
ENSG00000108825	ENSMUSG00000075528	Aarsd1
ENSG00000108825	ENSMUSG00000097239	Gm27029
ENSG00000108826	ENSMUSG00000024414	Mrpl27
ENSG00000108828	ENSMUSG00000034993	Vat1
ENSG00000108829	ENSMUSG00000020869	Lrrc59
ENSG00000108830	ENSMUSG00000001313	Rnd2
ENSG00000108839	ENSMUSG00000000320	Alox12
ENSG00000108840	ENSMUSG00000008855	Hdac5
ENSG00000108846	ENSMUSG00000020865	Abcc3
ENSG00000108848	ENSMUSG00000020863	Luc7l3
ENSG00000108849	ENSMUSG00000017316	Ppy
ENSG00000108852	ENSMUSG00000017314	Mpp2
ENSG00000108854	ENSMUSG00000018363	Smurf2
ENSG00000108878	ENSMUSG00000020722	Cacng1
ENSG00000108883	ENSMUSG00000020929	Eftud2
ENSG00000108924	ENSMUSG00000003949	Hlf
ENSG00000108932	ENSMUSG00000041920	Slc16a6
ENSG00000108946	ENSMUSG00000020612	Prkar1a
ENSG00000108947	ENSMUSG00000003934	Efnb3
ENSG00000108950	ENSMUSG00000020614	Fam20a
ENSG00000108953	ENSMUSG00000020849	Ywhae
ENSG00000108960	ENSMUSG00000003948	Mmd
ENSG00000108961	ENSMUSG00000032892	Rangrf
ENSG00000108963	ENSMUSG00000078789	Dph1
ENSG00000108984	ENSMUSG00000020623	Map2k6
ENSG00000109016	ENSMUSG00000042569	Dhrs7b
ENSG00000109046	ENSMUSG00000017677	Wsb1
ENSG00000109047	ENSMUSG00000020907	Rcvrn
ENSG00000109061	ENSMUSG00000056328	Myh1
ENSG00000109062	ENSMUSG00000020733	Slc9a3r1
ENSG00000109063	ENSMUSG00000020908	Myh3
ENSG00000109065	ENSMUSG00000015542	Nat9
ENSG00000109066	ENSMUSG00000045980	Tmem104
ENSG00000109072	ENSMUSG00000017344	Vtn
ENSG00000109079	ENSMUSG00000017615	Tnfaip1
ENSG00000109083	ENSMUSG00000001105	Ift20
ENSG00000109084	ENSMUSG00000037278	Tmem97
ENSG00000109089	ENSMUSG00000050910	Cdr2l
ENSG00000109099	ENSMUSG00000018217	Pmp22
ENSG00000109101	ENSMUSG00000002057	Foxn1
ENSG00000109103	ENSMUSG00000002058	Unc119
ENSG00000109107	ENSMUSG00000017390	Aldoc
ENSG00000109111	ENSMUSG00000002052	Supt6
ENSG00000109113	ENSMUSG00000002059	Rab34
ENSG00000109118	ENSMUSG00000037791	Phf12
ENSG00000109132	ENSMUSG00000012520	Phox2b
ENSG00000109133	ENSMUSG00000037720	Tmem33
ENSG00000109158	ENSMUSG00000029211	Gabra4
ENSG00000109163	ENSMUSG00000029255	Gnrhr
ENSG00000109171	ENSMUSG00000036087	Slain2
ENSG00000109180	ENSMUSG00000029152	Ociad1
ENSG00000109182	ENSMUSG00000029154	Cwh43
ENSG00000109184	ENSMUSG00000051674	Dcun1d4
ENSG00000109189	ENSMUSG00000054814	Usp46
ENSG00000109193	ENSMUSG00000029272	Sult1e1
ENSG00000109205	ENSMUSG00000009580	Odam
ENSG00000109220	ENSMUSG00000029229	Chic2
ENSG00000109255	ENSMUSG00000029236	Nmu
ENSG00000109265	ENSMUSG00000036377	C530008M17Rik
ENSG00000109270	ENSMUSG00000091512	Lamtor3
ENSG00000109320	ENSMUSG00000028163	Nfkb1
ENSG00000109321	ENSMUSG00000029378	Areg
ENSG00000109323	ENSMUSG00000028164	Manba
ENSG00000109332	ENSMUSG00000078578	Ube2d3
ENSG00000109339	ENSMUSG00000046709	Mapk10
ENSG00000109381	ENSMUSG00000037174	Elf2
ENSG00000109390	ENSMUSG00000037152	Ndufc1
ENSG00000109424	ENSMUSG00000031710	Ucp1
ENSG00000109436	ENSMUSG00000031709	Tbc1d9
ENSG00000109445	ENSMUSG00000031711	Zfp330
ENSG00000109452	ENSMUSG00000037940	Inpp4b
ENSG00000109458	ENSMUSG00000031714	Gab1
ENSG00000109466	ENSMUSG00000031605	Klhl2
ENSG00000109471	ENSMUSG00000027720	Il2
ENSG00000109472	ENSMUSG00000037852	Cpe
ENSG00000109475	ENSMUSG00000062006	Rpl34
ENSG00000109501	ENSMUSG00000039474	Wfs1
ENSG00000109511	ENSMUSG00000031635	Anxa10
ENSG00000109519	ENSMUSG00000029198	Grpel1
ENSG00000109534	ENSMUSG00000028010	Gar1
ENSG00000109536	ENSMUSG00000031590	Frg1
ENSG00000109572	ENSMUSG00000004319	Clcn3
ENSG00000109576	ENSMUSG00000057228	Aadat
ENSG00000109586	ENSMUSG00000031608	Galnt7
ENSG00000109606	ENSMUSG00000029169	Dhx15
ENSG00000109610	ENSMUSG00000072941	Sod3
ENSG00000109618	ENSMUSG00000029173	Sepsecs
ENSG00000109625	ENSMUSG00000036596	Cpz
ENSG00000109654	ENSMUSG00000027993	Trim2
ENSG00000109667	ENSMUSG00000005107	Slc2a9
ENSG00000109670	ENSMUSG00000028086	Fbxw7
ENSG00000109674	ENSMUSG00000039396	Neil3
ENSG00000109680	ENSMUSG00000039178	Tbc1d19
ENSG00000109684	ENSMUSG00000039315	Clnk
ENSG00000109685	ENSMUSG00000057406	Nsd2
ENSG00000109686	ENSMUSG00000028082	Sh3d19
ENSG00000109689	ENSMUSG00000039156	Stim2
ENSG00000109705	ENSMUSG00000049691	Nkx3-2
ENSG00000109736	ENSMUSG00000001082	Mfsd10
ENSG00000109738	ENSMUSG00000028020	Glrb
ENSG00000109743	ENSMUSG00000029082	Bst1
ENSG00000109756	ENSMUSG00000062232	Rapgef2
ENSG00000109758	ENSMUSG00000029102	Hgfac
ENSG00000109762	ENSMUSG00000038291	Snx25
ENSG00000109771	ENSMUSG00000031637	Lrp2bp
ENSG00000109775	ENSMUSG00000031634	Ufsp2
ENSG00000109787	ENSMUSG00000029178	Klf3
ENSG00000109790	ENSMUSG00000054920	Klhl5
ENSG00000109794	ENSMUSG00000070044	Fam149a
ENSG00000109805	ENSMUSG00000015880	Ncapg
ENSG00000109814	ENSMUSG00000029201	Ugdh
ENSG00000109819	ENSMUSG00000029167	Ppargc1a
ENSG00000109832	ENSMUSG00000032101	Ddx25
ENSG00000109846	ENSMUSG00000032060	Cryab
ENSG00000109851	ENSMUSG00000030507	Dbx1
ENSG00000109854	ENSMUSG00000039745	Htatip2
ENSG00000109861	ENSMUSG00000030560	Ctsc
ENSG00000109881	ENSMUSG00000027160	Ccdc34
ENSG00000109906	ENSMUSG00000066687	Zbtb16
ENSG00000109911	ENSMUSG00000027167	Elp4
ENSG00000109917	ENSMUSG00000032078	Zpr1
ENSG00000109919	ENSMUSG00000027282	Mtch2
ENSG00000109920	ENSMUSG00000008200	Fnbp4
ENSG00000109927	ENSMUSG00000037705	Tecta
ENSG00000109929	ENSMUSG00000032018	Sc5d
ENSG00000109943	ENSMUSG00000032021	Crtam
ENSG00000109944	ENSMUSG00000032023	Jhy
ENSG00000109956	ENSMUSG00000045994	B3gat1
ENSG00000109971	ENSMUSG00000015656	Hspa8
ENSG00000109991	ENSMUSG00000027071	P2rx3
ENSG00000110002	ENSMUSG00000023186	Vwa5a
ENSG00000110002	ENSMUSG00000038112	AW551984
ENSG00000110011	ENSMUSG00000024963	Dnajc4
ENSG00000110013	ENSMUSG00000001942	Siae
ENSG00000110025	ENSMUSG00000024787	Snx15
ENSG00000110031	ENSMUSG00000024696	Lpxn
ENSG00000110042	ENSMUSG00000039982	Dtx4
ENSG00000110046	ENSMUSG00000024773	Atg2a
ENSG00000110047	ENSMUSG00000024772	Ehd1
ENSG00000110048	ENSMUSG00000024687	Osbp
ENSG00000110057	ENSMUSG00000036908	Unc93b1
ENSG00000110060	ENSMUSG00000032103	Pus3
ENSG00000110063	ENSMUSG00000032040	Dcps
ENSG00000110066	ENSMUSG00000045098	Kmt5b
ENSG00000110074	ENSMUSG00000039048	Foxred1
ENSG00000110075	ENSMUSG00000024908	Ppp6r3
ENSG00000110076	ENSMUSG00000033768	Nrxn2
ENSG00000110077	ENSMUSG00000024677	Ms4a6b
ENSG00000110077	ENSMUSG00000024679	Ms4a6d
ENSG00000110077	ENSMUSG00000079419	Ms4a6c
ENSG00000110079	ENSMUSG00000101389	Ms4a4a
ENSG00000110080	ENSMUSG00000032038	St3gal4
ENSG00000110090	ENSMUSG00000024900	Cpt1a
ENSG00000110092	ENSMUSG00000070348	Ccnd1
ENSG00000110104	ENSMUSG00000024732	Ccdc86
ENSG00000110107	ENSMUSG00000024735	Prpf19
ENSG00000110108	ENSMUSG00000034659	Tmem109
ENSG00000110148	ENSMUSG00000030898	Cckbr
ENSG00000110169	ENSMUSG00000030895	Hpx
ENSG00000110171	ENSMUSG00000036989	Trim3
ENSG00000110172	ENSMUSG00000001774	Chordc1
ENSG00000110195	ENSMUSG00000001827	Folr1
ENSG00000110200	ENSMUSG00000030649	Anapc15
ENSG00000110200	ENSMUSG00000074780	Anapc15-ps
ENSG00000110203	ENSMUSG00000032725	Folr2
ENSG00000110218	ENSMUSG00000031934	Panx1
ENSG00000110237	ENSMUSG00000032875	Arhgef17
ENSG00000110243	ENSMUSG00000032079	Apoa5
ENSG00000110244	ENSMUSG00000032080	Apoa4
ENSG00000110245	ENSMUSG00000032081	Apoc3
ENSG00000110274	ENSMUSG00000043987	Cep164
ENSG00000110315	ENSMUSG00000030788	Rnf141
ENSG00000110318	ENSMUSG00000040729	Cep126
ENSG00000110321	ENSMUSG00000005610	Eif4g2
ENSG00000110324	ENSMUSG00000032089	Il10ra
ENSG00000110328	ENSMUSG00000038296	Galnt18
ENSG00000110330	ENSMUSG00000057367	Birc2
ENSG00000110344	ENSMUSG00000059890	Ube4a
ENSG00000110367	ENSMUSG00000032097	Ddx6
ENSG00000110375	ENSMUSG00000041523	Upk2
ENSG00000110395	ENSMUSG00000034342	Cbl
ENSG00000110400	ENSMUSG00000032012	Nectin1
ENSG00000110422	ENSMUSG00000027177	Hipk3
ENSG00000110427	ENSMUSG00000068373	D430041D05Rik
ENSG00000110429	ENSMUSG00000027180	Fbxo3
ENSG00000110435	ENSMUSG00000010914	Pdhx
ENSG00000110436	ENSMUSG00000005089	Slc1a2
ENSG00000110442	ENSMUSG00000027163	Commd9
ENSG00000110446	ENSMUSG00000024737	Slc15a3
ENSG00000110448	ENSMUSG00000024669	Cd5
ENSG00000110455	ENSMUSG00000040272	Accs
ENSG00000110484	ENSMUSG00000096872	Scgb2a2
ENSG00000110492	ENSMUSG00000027239	Mdk
ENSG00000110497	ENSMUSG00000040506	Ambra1
ENSG00000110514	ENSMUSG00000040687	Madd
ENSG00000110536	ENSMUSG00000063235	Ptpmt1
ENSG00000110583	ENSMUSG00000024764	Naa40
ENSG00000110619	ENSMUSG00000010755	Cars
ENSG00000110628	ENSMUSG00000000154	Slc22a18
ENSG00000110651	ENSMUSG00000037706	Cd81
ENSG00000110660	ENSMUSG00000042195	Slc35f2
ENSG00000110675	ENSMUSG00000041986	Elmod1
ENSG00000110680	ENSMUSG00000030669	Calca
ENSG00000110693	ENSMUSG00000051910	Sox6
ENSG00000110696	ENSMUSG00000030663	1110004F10Rik
ENSG00000110697	ENSMUSG00000024851	Pitpnm1
ENSG00000110700	ENSMUSG00000090862	Rps13
ENSG00000110711	ENSMUSG00000024847	Aip
ENSG00000110713	ENSMUSG00000063550	Nup98
ENSG00000110717	ENSMUSG00000059734	Ndufs8
ENSG00000110719	ENSMUSG00000001750	Tcirg1
ENSG00000110721	ENSMUSG00000024843	Chka
ENSG00000110723	ENSMUSG00000034584	Exph5
ENSG00000110756	ENSMUSG00000014418	Hps5
ENSG00000110768	ENSMUSG00000006599	Gtf2h1
ENSG00000110777	ENSMUSG00000032053	Pou2af1
ENSG00000110786	ENSMUSG00000030854	Ptpn5
ENSG00000110799	ENSMUSG00000001930	Vwf
ENSG00000110801	ENSMUSG00000029440	Psmd9
ENSG00000110811	ENSMUSG00000023191	P3h3
ENSG00000110841	ENSMUSG00000016487	Ppfibp1
ENSG00000110844	ENSMUSG00000023007	Prpf40b
ENSG00000110848	ENSMUSG00000030156	Cd69
ENSG00000110851	ENSMUSG00000035529	Prdm4
ENSG00000110871	ENSMUSG00000041733	Coq5
ENSG00000110876	ENSMUSG00000048163	Selplg
ENSG00000110880	ENSMUSG00000004530	Coro1c
ENSG00000110881	ENSMUSG00000023017	Asic1
ENSG00000110887	ENSMUSG00000042096	Dao
ENSG00000110888	ENSMUSG00000030309	Caprin2
ENSG00000110900	ENSMUSG00000030351	Tspan11
ENSG00000110906	ENSMUSG00000001098	Kctd10
ENSG00000110911	ENSMUSG00000023030	Slc11a2
ENSG00000110917	ENSMUSG00000048578	Mlec
ENSG00000110921	ENSMUSG00000041939	Mvk
ENSG00000110925	ENSMUSG00000044636	Csrnp2
ENSG00000110931	ENSMUSG00000029471	Camkk2
ENSG00000110934	ENSMUSG00000098112	Bin2
ENSG00000110944	ENSMUSG00000025383	Il23a
ENSG00000110955	ENSMUSG00000025393	Atp5b
ENSG00000110958	ENSMUSG00000071072	Ptges3
ENSG00000110975	ENSMUSG00000063260	Syt10
ENSG00000110987	ENSMUSG00000029438	Bcl7a
ENSG00000111011	ENSMUSG00000029422	Rsrc2
ENSG00000111012	ENSMUSG00000006724	Cyp27b1
ENSG00000111046	ENSMUSG00000035923	Myf6
ENSG00000111049	ENSMUSG00000000435	Myf5
ENSG00000111052	ENSMUSG00000019906	Lin7a
ENSG00000111057	ENSMUSG00000023043	Krt18
ENSG00000111058	ENSMUSG00000035948	Acss3
ENSG00000111077	ENSMUSG00000037003	Tns2
ENSG00000111087	ENSMUSG00000025407	Gli1
ENSG00000111110	ENSMUSG00000034613	Ppm1h
ENSG00000111142	ENSMUSG00000036112	Metap2
ENSG00000111144	ENSMUSG00000015889	Lta4h
ENSG00000111145	ENSMUSG00000008398	Elk3
ENSG00000111181	ENSMUSG00000030109	Slc6a12
ENSG00000111186	ENSMUSG00000030170	Wnt5b
ENSG00000111196	ENSMUSG00000030188	Magohb
ENSG00000111199	ENSMUSG00000014158	Trpv4
ENSG00000111203	ENSMUSG00000001518	Itfg2
ENSG00000111206	ENSMUSG00000001517	Foxm1
ENSG00000111218	ENSMUSG00000030350	Prmt8
ENSG00000111224	ENSMUSG00000037997	Parp11
ENSG00000111229	ENSMUSG00000029465	Arpc3
ENSG00000111231	ENSMUSG00000029464	Gpn3
ENSG00000111237	ENSMUSG00000029462	Vps29
ENSG00000111241	ENSMUSG00000000183	Fgf6
ENSG00000111245	ENSMUSG00000013936	Myl2
ENSG00000111247	ENSMUSG00000030346	Rad51ap1
ENSG00000111249	ENSMUSG00000042589	Cux2
ENSG00000111252	ENSMUSG00000042594	Sh2b3
ENSG00000111254	ENSMUSG00000030344	Akap3
ENSG00000111261	ENSMUSG00000032718	Mansc1
ENSG00000111262	ENSMUSG00000047976	Kcna1
ENSG00000111266	ENSMUSG00000030203	Dusp16
ENSG00000111269	ENSMUSG00000032652	Crebl2
ENSG00000111271	ENSMUSG00000029456	Acad10
ENSG00000111271	ENSMUSG00000042647	Acad12
ENSG00000111275	ENSMUSG00000029455	Aldh2
ENSG00000111276	ENSMUSG00000003031	Cdkn1b
ENSG00000111291	ENSMUSG00000030205	Gprc5d
ENSG00000111300	ENSMUSG00000042719	Naa25
ENSG00000111305	ENSMUSG00000030206	Gsg1
ENSG00000111319	ENSMUSG00000030340	Scnn1a
ENSG00000111321	ENSMUSG00000030339	Ltbr
ENSG00000111325	ENSMUSG00000023707	Ogfod2
ENSG00000111328	ENSMUSG00000029394	Cdk2ap1
ENSG00000111328	ENSMUSG00000078154	Gm12184
ENSG00000111331	ENSMUSG00000032661	Oas3
ENSG00000111335	ENSMUSG00000032690	Oas2
ENSG00000111339	ENSMUSG00000030217	Art4
ENSG00000111341	ENSMUSG00000030218	Mgp
ENSG00000111344	ENSMUSG00000029602	Rasal1
ENSG00000111348	ENSMUSG00000030220	Arhgdib
ENSG00000111358	ENSMUSG00000029387	Gtf2h3
ENSG00000111361	ENSMUSG00000029388	Eif2b1
ENSG00000111364	ENSMUSG00000029389	Ddx55
ENSG00000111371	ENSMUSG00000023169	Slc38a1
ENSG00000111404	ENSMUSG00000092164	Rergl
ENSG00000111405	ENSMUSG00000022468	Endou
ENSG00000111412	ENSMUSG00000032840	2410131K14Rik
ENSG00000111424	ENSMUSG00000022479	Vdr
ENSG00000111432	ENSMUSG00000081683	Fzd10
ENSG00000111445	ENSMUSG00000029363	Rfc5
ENSG00000111450	ENSMUSG00000029428	Stx2
ENSG00000111452	ENSMUSG00000044017	Adgrd1
ENSG00000111481	ENSMUSG00000060992	Copz1
ENSG00000111490	ENSMUSG00000052302	Tbc1d30
ENSG00000111530	ENSMUSG00000020114	Cand1
ENSG00000111537	ENSMUSG00000055170	Ifng
ENSG00000111540	ENSMUSG00000000711	Rab5b
ENSG00000111554	ENSMUSG00000020212	Mdm1
ENSG00000111581	ENSMUSG00000052798	Nup107
ENSG00000111596	ENSMUSG00000020166	Cnot2
ENSG00000111602	ENSMUSG00000039994	Timeless
ENSG00000111605	ENSMUSG00000055531	Cpsf6
ENSG00000111615	ENSMUSG00000063334	Krr1
ENSG00000111639	ENSMUSG00000030335	Mrpl51
ENSG00000111640	ENSMUSG00000081607	Gm15294
ENSG00000111642	ENSMUSG00000063870	Chd4
ENSG00000111644	ENSMUSG00000072770	Acrbp
ENSG00000111647	ENSMUSG00000019951	Uhrf1bp1l
ENSG00000111652	ENSMUSG00000030127	Cops7a
ENSG00000111653	ENSMUSG00000030330	Ing4
ENSG00000111664	ENSMUSG00000023439	Gnb3
ENSG00000111665	ENSMUSG00000023505	Cdca3
ENSG00000111666	ENSMUSG00000060002	Chpt1
ENSG00000111667	ENSMUSG00000038429	Usp5
ENSG00000111670	ENSMUSG00000035311	Gnptab
ENSG00000111671	ENSMUSG00000038451	Spsb2
ENSG00000111674	ENSMUSG00000004267	Eno2
ENSG00000111676	ENSMUSG00000004263	Atn1
ENSG00000111676	ENSMUSG00000107478	Gm45234
ENSG00000111678	ENSMUSG00000072772	Grcc10
ENSG00000111679	ENSMUSG00000004266	Ptpn6
ENSG00000111684	ENSMUSG00000004270	Lpcat3
ENSG00000111696	ENSMUSG00000054027	Nt5dc3
ENSG00000111696	ENSMUSG00000112743	Gm49358
ENSG00000111700	ENSMUSG00000030236	Slco1b2
ENSG00000111701	ENSMUSG00000040613	Apobec1
ENSG00000111704	ENSMUSG00000012396	Nanog
ENSG00000111707	ENSMUSG00000066900	Suds3
ENSG00000111711	ENSMUSG00000030245	Golt1b
ENSG00000111713	ENSMUSG00000030244	Gys2
ENSG00000111716	ENSMUSG00000030246	Ldhb
ENSG00000111725	ENSMUSG00000029513	Prkab1
ENSG00000111726	ENSMUSG00000030282	Cmas
ENSG00000111727	ENSMUSG00000020246	Hcfc2
ENSG00000111728	ENSMUSG00000030283	St8sia1
ENSG00000111729	ENSMUSG00000049037	Clec4a1
ENSG00000111731	ENSMUSG00000030279	C2cd5
ENSG00000111732	ENSMUSG00000040627	Aicda
ENSG00000111737	ENSMUSG00000029518	Rab35
ENSG00000111752	ENSMUSG00000040669	Phc1
ENSG00000111775	ENSMUSG00000041697	Cox6a1
ENSG00000111780	ENSMUSG00000029536	Gatc
ENSG00000111783	ENSMUSG00000020037	Rfx4
ENSG00000111785	ENSMUSG00000035620	Ric8b
ENSG00000111786	ENSMUSG00000029538	Srsf9
ENSG00000111790	ENSMUSG00000040242	Fgfr1op2
ENSG00000111796	ENSMUSG00000030154	Klrb1f
ENSG00000111796	ENSMUSG00000030325	Klrb1c
ENSG00000111796	ENSMUSG00000030361	Klrb1a
ENSG00000111796	ENSMUSG00000079298	Klrb1b
ENSG00000111796	ENSMUSG00000079299	Klrb1
ENSG00000111796	ENSMUSG00000107872	Gm44511
ENSG00000111799	ENSMUSG00000032332	Col12a1
ENSG00000111802	ENSMUSG00000035958	Tdp2
ENSG00000111816	ENSMUSG00000019779	Frk
ENSG00000111817	ENSMUSG00000039497	Dse
ENSG00000111832	ENSMUSG00000019782	Rwdd1
ENSG00000111834	ENSMUSG00000039552	Rsph4a
ENSG00000111837	ENSMUSG00000021363	Mak
ENSG00000111843	ENSMUSG00000021361	Tmem14c
ENSG00000111845	ENSMUSG00000038683	Pak1ip1
ENSG00000111846	ENSMUSG00000021360	Gcnt2
ENSG00000111850	ENSMUSG00000028295	Smim8
ENSG00000111859	ENSMUSG00000021365	Nedd9
ENSG00000111860	ENSMUSG00000038594	Cep85l
ENSG00000111863	ENSMUSG00000058022	Adtrp
ENSG00000111875	ENSMUSG00000019857	Asf1a
ENSG00000111877	ENSMUSG00000058298	Mcm9
ENSG00000111879	ENSMUSG00000019856	Fam184a
ENSG00000111880	ENSMUSG00000028274	Rngtt
ENSG00000111885	ENSMUSG00000003746	Man1a
ENSG00000111886	ENSMUSG00000023267	Gabrr2
ENSG00000111897	ENSMUSG00000019877	Serinc1
ENSG00000111906	ENSMUSG00000000295	Hddc2
ENSG00000111907	ENSMUSG00000000296	Tpd52l1
ENSG00000111911	ENSMUSG00000019791	Hint3
ENSG00000111912	ENSMUSG00000039697	Ncoa7
ENSG00000111913	ENSMUSG00000036006	Ripor2
ENSG00000111961	ENSMUSG00000015305	Sash1
ENSG00000111962	ENSMUSG00000047712	Ust
ENSG00000111981	ENSMUSG00000079685	Ulbp1
ENSG00000112029	ENSMUSG00000019773	Fbxo5
ENSG00000112031	ENSMUSG00000019774	Mtrf1l
ENSG00000112033	ENSMUSG00000002250	Ppard
ENSG00000112038	ENSMUSG00000000766	Oprm1
ENSG00000112039	ENSMUSG00000007570	Fance
ENSG00000112041	ENSMUSG00000037446	Tulp1
ENSG00000112053	ENSMUSG00000036196	Slc26a8
ENSG00000112062	ENSMUSG00000053436	Mapk14
ENSG00000112077	ENSMUSG00000023926	Rhag
ENSG00000112078	ENSMUSG00000005936	Kctd20
ENSG00000112079	ENSMUSG00000024006	Stk38
ENSG00000112081	ENSMUSG00000071172	Srsf3
ENSG00000112096	ENSMUSG00000006818	Sod2
ENSG00000112110	ENSMUSG00000057388	Mrpl18
ENSG00000112115	ENSMUSG00000025929	Il17a
ENSG00000112116	ENSMUSG00000041872	Il17f
ENSG00000112118	ENSMUSG00000041859	Mcm3
ENSG00000112130	ENSMUSG00000090083	Rnf8
ENSG00000112130	ENSMUSG00000098374	Gm28043
ENSG00000112137	ENSMUSG00000054728	Phactr1
ENSG00000112139	ENSMUSG00000043557	Mdga1
ENSG00000112144	ENSMUSG00000009828	Cilk1
ENSG00000112146	ENSMUSG00000001366	Fbxo9
ENSG00000112149	ENSMUSG00000015396	Cd83
ENSG00000112159	ENSMUSG00000058006	Mdn1
ENSG00000112164	ENSMUSG00000024027	Glp1r
ENSG00000112167	ENSMUSG00000045107	Saysd1
ENSG00000112175	ENSMUSG00000032179	Bmp5
ENSG00000112182	ENSMUSG00000040270	Bach2
ENSG00000112183	ENSMUSG00000038132	Rbm24
ENSG00000112186	ENSMUSG00000021373	Cap2
ENSG00000112195	ENSMUSG00000071068	Treml2
ENSG00000112200	ENSMUSG00000042197	Zfp451
ENSG00000112208	ENSMUSG00000042215	Bag2
ENSG00000112210	ENSMUSG00000004768	Rab23
ENSG00000112212	ENSMUSG00000023995	Tspo2
ENSG00000112214	ENSMUSG00000028259	Fhl5
ENSG00000112218	ENSMUSG00000040372	Gpr63
ENSG00000112232	ENSMUSG00000026058	Khdrbs2
ENSG00000112234	ENSMUSG00000040410	Fbxl4
ENSG00000112237	ENSMUSG00000028252	Ccnc
ENSG00000112238	ENSMUSG00000040478	Prdm13
ENSG00000112242	ENSMUSG00000016477	E2f3
ENSG00000112245	ENSMUSG00000026064	Ptp4a1
ENSG00000112245	ENSMUSG00000117310	Ptp4a1
ENSG00000112246	ENSMUSG00000019913	Sim1
ENSG00000112249	ENSMUSG00000038774	Ascc3
ENSG00000112273	ENSMUSG00000045835	Hdgfl1
ENSG00000112276	ENSMUSG00000071317	Bves
ENSG00000112280	ENSMUSG00000026147	Col9a1
ENSG00000112282	ENSMUSG00000019984	Med23
ENSG00000112290	ENSMUSG00000019831	Wasf1
ENSG00000112293	ENSMUSG00000021340	Gpld1
ENSG00000112294	ENSMUSG00000035936	Aldh5a1
ENSG00000112297	ENSMUSG00000019866	Crybg1
ENSG00000112299	ENSMUSG00000037440	Vnn1
ENSG00000112304	ENSMUSG00000006717	Acot13
ENSG00000112305	ENSMUSG00000026155	Smap1
ENSG00000112308	ENSMUSG00000019132	BC005537
ENSG00000112309	ENSMUSG00000026156	B3gat2
ENSG00000112312	ENSMUSG00000006715	Gmnn
ENSG00000112319	ENSMUSG00000010461	Eya4
ENSG00000112320	ENSMUSG00000038248	Sobp
ENSG00000112333	ENSMUSG00000019803	Nr2e1
ENSG00000112335	ENSMUSG00000019804	Snx3
ENSG00000112337	ENSMUSG00000036110	Slc17a2
ENSG00000112339	ENSMUSG00000019977	Hbs1l
ENSG00000112343	ENSMUSG00000064140	Trim38
ENSG00000112357	ENSMUSG00000020003	Pex7
ENSG00000112365	ENSMUSG00000019826	Zbtb24
ENSG00000112367	ENSMUSG00000038417	Fig4
ENSG00000112378	ENSMUSG00000019851	Perp
ENSG00000112379	ENSMUSG00000019852	Arfgef3
ENSG00000112394	ENSMUSG00000019838	Slc16a10
ENSG00000112406	ENSMUSG00000039879	Heca
ENSG00000112414	ENSMUSG00000039116	Adgrg6
ENSG00000112419	ENSMUSG00000062866	Phactr2
ENSG00000112425	ENSMUSG00000055493	Epm2a
ENSG00000112462	ENSMUSG00000029184	Olfr109
ENSG00000112473	ENSMUSG00000024327	Slc39a7
ENSG00000112486	ENSMUSG00000040899	Ccr6
